"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동복구매방식(학교주관구매)","동복구매방식(공동구매)","동복구매방식(개별구매)","동복구매방식(기타)","동복구매방식(기타사유)","동복구매방식(해당없음)","동복(평균)가격","하복구매방식(학교주관구매)","하복구매방식(공동구매)","하복구매방식(개별구매)","하복구매방식(기타)","하복구매방식(기타사유)","하복구매방식(해당없음)","하복(평균)가격","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129010300","01","S010002328","우촌초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010002365","계성초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016200","01","S010002366","동산초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114014200","01","S010002367","리라초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111018500","01","S010002368","상명대학교사범대학부속초등학교","02","사립","Y","개별구매","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016200","01","S010002369","서울광희초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111013400","01","S010002370","서울교동초등학교","02","공립","Y","동복과 하복을 모두 미착용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117011900","01","S010002371","서울금양초등학교","02","공립","Y","교복입지않음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114012900","01","S010002372","서울남산초등학교","02","공립","Y","본교는 교복을 착용하지 않아 해당공시 내용없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117011300","01","S010002373","서울남정초등학교","02","공립","Y","해당 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114016700","01","S010002375","서울덕수초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111018700","01","S010002376","서울독립문초등학교","02","공립","Y","본교는 교복을 착용하지 않음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111011300","01","S010002377","서울매동초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111017400","01","S010002378","서울명신초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 용산구","1117013000","01","S010002379","서울보광초등학교","02","공립","Y","본교는 교복을 착용하지 않으므로 제외처리함","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시중부교육지원청","B100000359","서울특별시 중구","1114017400","01","S010002380","서울봉래초등학교","02","공립","Y","해당사유없음","","","","","","","","","","","","","","","","","2022"
